[16-12-21 22:26:42][TIP]连接数据库成功
[16-12-21 22:26:42][TIP]正在启动本地日志服务……
[16-12-21 22:26:42][TIP]启动本地日志服务成功!
[16-12-21 22:39:44][TIP]接受客户端连接!
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160805`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160806`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160807`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160808`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160809`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160810`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160811`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160812`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160813`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160814`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160815`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160816`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160817`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160818`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160819`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160820`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160821`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160822`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160823`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160824`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160825`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160826`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160827`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160828`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160829`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160830`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160900`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160901`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160902`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160903`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160904`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160905`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160906`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160907`
[16-12-21 22:39:53][TIP]删表 szSql=drop table if exists `log_common_1_1_20160908`
